Row ID,Order ID,Order Status,Order_Purchase_Date,Order_Delivered_Date,Order_Estimated_Delivery_Date),Ship Mode,VendorID,Customer ID,Segment,State,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Surcharge,Total Cost
8034,CA-2015-119690,delivered,8/28/2017,09-08-2017,9/25/2017,First Class,VEN05,MV-17485,#N/A,#N/A,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",0.984,2,0.8,-1.476,0.1,2.706
2762,CA-2017-126536,delivered,9/30/2017,10-11-2017,11-06-2017,First Class,VEN05,NK-18490,Home Office,Washington,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,0.99,1,0,0.4356,0.1,0.60984
1686,CA-2017-149489,delivered,03-10-2017,3/21/2017,3/31/2017,First Class,VEN02,DK-12835,#N/A,#N/A,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,1.188,2,0.7,-0.99,0.1,2.3958
76,US-2017-118038,delivered,7/28/2017,08-07-2017,8/17/2017,First Class,VEN04,KB-16600,Corporate,Michigan,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,0.1,3.50064
6990,CA-2017-165099,delivered,06-07-2018,06-11-2018,6/25/2018,First Class,VEN01,DK-13375,#N/A,#N/A,OFF-AP-10001634,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum,1.392,2,0.8,-3.7584,0.1,5.66544
2214,CA-2017-129378,delivered,10/17/2017,10/23/2017,11-03-2017,First Class,VEN04,NS-18505,#N/A,#N/A,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.44,1,0.2,0.504,0.1,1.0296
2728,CA-2017-119193,delivered,06-07-2017,6/19/2017,6/30/2017,First Class,VEN01,SK-19990,Consumer,Connecticut,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,1.641,1,0.7,-1.3128,0.1,3.24918
62,CA-2016-111682,delivered,11/29/2017,12-11-2017,12/22/2017,First Class,VEN02,TB-21055,Consumer,New York,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,0.1,0.924
1225,CA-2016-126004,delivered,08-02-2018,08-08-2018,8/16/2018,First Class,VEN01,BM-11140,Consumer,Texas,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,1.728,1,0.2,0.6048,0.1,1.23552
4225,CA-2016-108644,delivered,11/18/2017,11/27/2017,12-11-2017,First Class,VEN02,SJ-20215,#N/A,#N/A,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1.964,2,0.8,-3.2406,0.1,5.72506
1359,CA-2017-160045,delivered,12-06-2017,12-12-2017,01-09-2018,First Class,VEN04,LB-16735,#N/A,#N/A,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",1.988,1,0.6,-1.4413,0.1,3.77223
1451,US-2015-160150,delivered,3/20/2018,3/26/2018,04-02-2018,First Class,VEN05,TS-21085,#N/A,#N/A,OFF-BI-10004352,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders,2.025,1,0.7,-1.35,0.1,3.7125
6056,CA-2016-113551,delivered,09-01-2017,9/14/2017,9/22/2017,First Class,VEN01,NF-18385,Consumer,Illinois,OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,2.068,1,0.8,-3.4122,0.1,6.02822
4879,US-2016-131891,delivered,09-10-2017,9/18/2017,10-06-2017,First Class,VEN01,PW-19240,#N/A,#N/A,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",2.214,3,0.7,-1.476,0.1,4.059
8451,CA-2017-125451,delivered,11-07-2017,11/22/2017,11/24/2017,First Class,VEN03,AH-10075,#N/A,#N/A,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,2.22,1,0,0.666,0.1,1.7094
7763,CA-2017-156391,delivered,6/17/2018,6/19/2018,6/28/2018,First Class,VEN04,SL-20155,#N/A,#N/A,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,2.224,1,0.2,0.556,0.1,1.8348
